trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9978245312867834}",20,0,-81.86557198815176,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9977197441361225}",25,0,-197.20683859950393,"{0: 10, 1: 6, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9976124951996601}",35,0,-137.72370369164844,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9975027847420233}",20,0,-187.0331638877451,"{0: 6, 1: 1, 2: 11, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.997390613033913}",30,0,-216.4964710506461,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9972759803521031}",20,0,-94.59964723272208,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9971588869794398}",30,0,-137.76087086793405,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9970393332048404}",25,10,-110.57279292355311,"{0: 6, 1: 3, 2: 4, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.9969173193232936}",20,0,-86.13991558399304,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9967928456358579}",20,0,-171.23621400693915,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",1
52,False,"{'a': 0.5, 'e': 0.9966659124496611}",20,0,-116.75409633268087,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9965365200778996}",30,0,-113.81313349208193,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.996404668839838}",25,0,-151.32314750111163,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
