trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987675502532}",25,7,-33.56265438738292,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9999950702040505}",20,0,-158.23442188645376,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999889079705055}",20,0,-107.00319477068687,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999802808648077}",20,0,-182.75746352474502,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9999691889082218}",20,0,-111.68157140122447,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999556321280886}",25,2,-178.840020900872,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.9999396105578239}",20,0,-85.9641557667235,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999211242369195}",30,0,-103.1745291465215,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999001732109422}",20,0,-128.3224419496405,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998767575315342}",25,0,-93.54281465591596,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9998508772564129}",25,10,-62.86374958650124,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9998225324493704}",20,0,-50.56518024876475,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9997917231802739}",20,0,-106.28335236143452,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997584495250651}",25,0,-174.4232234933635,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9997227115657603}",25,0,-80.24564909870442,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.99968450939045}",20,2,-74.90938917992928,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9996438430932985}",30,0,-133.94544432112326,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9996007127745443}",20,3,-139.1056540683783,"{0: 9, 1: 3, 2: 1, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9995551185404994}",25,8,-132.79987533856217,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 0.9995070605035489}",20,0,-184.84185551859426,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.999456538782151}",25,7,-146.28686571971215,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.9994035535008366}",20,0,-170.449346699841,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9993481047902093}",20,0,-129.45561676503831,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9992901927869444}",20,0,-58.007919552773245,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9992298176337894}",30,0,-94.11078766303625,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9991669794795627}",30,0,-215.55770872520324,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9991016784791542}",20,0,-93.54304386163636,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9990339147935242}",25,0,-242.6797211471968,"{0: 12, 1: 2, 2: 4, 3: 4, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9989636885897035}",20,0,-114.38578195879013,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9988910000407927}",30,0,-105.76889337554104,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9988158493259616}",20,0,-52.838385964042345,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.998738236630449}",20,0,-163.94233197953827,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9986581621455628}",25,5,-57.9036380602316,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9985756260686783}",20,0,-91.66007944506607,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9984906286032388}",25,0,-137.96152041727248,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9984031699587543}",25,0,-114.95348673159589,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9983132503508017}",20,0,-81.65362623514248,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9982208700010238}",20,0,-71.95658292244275,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9981260291371287}",20,0,-0.860866540434188,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9980287279928899}",20,0,-61.016037763912685,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9979289668081447}",30,1,-107.03718685937457,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.9978267458287945}",20,0,-80.42921047617325,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9977220653068037}",20,0,-50.84740904617365,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9976149255001993}",25,0,-63.26190061427159,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9975053266730701}",25,0,-164.3387050587351,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9973932690955664}",25,0,-156.19205352002297,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9972787530438985}",20,0,-90.08508598367736,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9971617788003372}",25,0,-249.67788013670207,"{0: 10, 1: 6, 2: 3, 3: 2, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9970423466532122}",20,0,-69.06769709217244,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9969204568969118}",20,0,-72.39705797844803,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9967961098318819}",20,0,-113.3924908082455,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9966693057646256}",20,1,-159.99599144340542,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.9965400450077021}",20,0,-125.9377202655541,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9964083278797263}",30,12,-52.974453872879245,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.9962741547053676}",25,0,-124.1259786757044,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9961375258153493}",20,0,-107.03715256811554,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.995998441546448}",30,22,2.409502052707299,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.9958569022414925}",20,0,-141.3948640284722,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9957129082493628}",25,0,-210.09453268074026,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
60,False,"{'a': 0.5, 'e': 0.9955664599249897}",25,0,-26.542314569572937,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
