trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.86342909039838,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999994516861301}",25,0,-115.13562424769808,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999978067451217}",25,0,-96.91755828040007,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999950651787788}",25,0,-141.42501985512348,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999912269901077}",25,0,-111.61521550952267,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999862921833175}",30,0,-204.95976095548653,"{0: 13, 1: 3, 2: 10, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99998026076382}",35,0,-306.3932940255335,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.9999731327382292}",20,3,-22.802354983399706,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.999964908114362}",20,0,-240.02475284019428,"{0: 4, 1: 4, 2: 8, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9999555869012378}",35,0,-318.2572486965236,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 7}",0
11,False,"{'a': 0.5, 'e': 0.9999451691090784}",20,0,-47.4362355602452,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9999336547493084}",30,0,-99.54824661558794,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999210438345546}",30,7,-202.5446679512198,"{0: 11, 1: 1, 2: 5, 3: 4, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.9999073363786465}",25,0,-84.92289708732002,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9998925323966161}",20,0,-72.78950009498502,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998766319046979}",25,0,-176.99649620254104,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998596349203288}",30,0,-239.64449401539775,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9998415414621482}",20,0,-137.08554126045325,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9998223515499978}",30,0,-57.641112527992505,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9998020652049219}",30,0,-111.38085353428357,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.999780682449167}",25,0,-119.2156734218056,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9997582033061819}",20,0,-57.80632980159041,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9997346278006181}",35,0,-144.75539475045545,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9997099559583289}",20,0,-111.54185137478177,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9996841878063704}",20,0,-140.82184568105825,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9996573233730004}",30,0,-196.97907525264267,"{0: 16, 1: 3, 2: 4, 3: 6, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9996293626876794}",20,0,-86.58309415719344,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9996003057810697}",25,0,-50.826966265263614,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.999570152685036}",20,0,-205.45485982974256,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.9995389034326451}",30,0,-135.54094091930727,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9995065580581657}",30,0,-33.57756845898339,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9994731165970685}",25,0,-99.84326717945365,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9994385790860266}",30,0,-196.0507941916062,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9994029455629146}",25,0,-130.56175546895088,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9993662160668093}",25,0,-97.53247372269477,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9993283906379893}",20,0,-158.65806356990743,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9992894693179348}",25,0,-107.83732284812632,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9992494521493284}",25,0,-137.1395295154945,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
