trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9990784258850848}",20,0,-93.2741306729874,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990329301560098}",25,0,-57.69227009803771,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9989863388597106}",20,0,-84.19006396116721,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9989386520472805}",20,0,-168.85495940963057,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.9988898697710142}",20,0,-127.63080863836578,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9988399920844079}",25,0,-168.19071120247133,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9987890190421584}",20,0,-135.7103789861177,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9987369507001647}",20,0,-115.99610410736072,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.998683787115526}",20,0,-57.543555317582644,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.998629528346543}",20,0,2.2476044517180256,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9985741744527176}",20,0,-71.91332989641532,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.998517725494752}",25,0,-156.06667657683104,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9984601815345502}",20,0,-39.98724297810746,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9984015426352162}",20,0,-47.458791973043596,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
