trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987675502532}",25,0,-161.76505906454676,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999950702040505}",20,0,-109.35901114328854,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999889079705055}",25,0,-133.392623840081,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999802808648077}",20,0,-167.13545669723868,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999691889082218}",30,0,-223.71953130152346,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999556321280886}",20,0,-48.28147410709622,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9999396105578239}",20,0,-181.77376241233517,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999211242369195}",25,0,-104.35526317944881,"{0: 16, 1: 0, 2: 5, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999001732109422}",20,0,-97.10824229366546,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998767575315342}",35,0,-101.60801111465936,"{0: 24, 1: 2, 2: 6, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9998508772564129}",20,0,-109.24969471884052,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9998225324493704}",20,5,-29.38248051457624,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9997917231802739}",20,0,-54.41692516799246,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997584495250651}",30,0,-190.32807506041607,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9997227115657603}",20,0,-25.568363183329684,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.99968450939045}",25,0,-63.889377948842665,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9996438430932985}",25,14,-66.11276774346759,"{0: 5, 1: 2, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9996007127745443}",20,0,-112.4947561889207,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9995551185404994}",25,0,-144.86962803385236,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9995070605035489}",25,0,-157.9367399842325,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.999456538782151}",20,0,-140.9268115003197,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9994035535008366}",20,0,-104.92252270065381,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9993481047902093}",25,0,-57.71858951247245,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9992901927869444}",25,0,-65.49399830546257,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9992298176337894}",25,0,-95.18944144958701,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9991669794795627}",20,0,-132.4780917161007,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9991016784791542}",20,0,-32.05402245537864,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9990339147935242}",25,0,-56.16487907915741,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9989636885897035}",20,0,-18.340939866299244,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9988910000407927}",20,0,-96.90812983065727,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9988158493259616}",20,0,-142.77864927723678,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.998738236630449}",20,0,-238.30965289204724,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.9986581621455628}",20,0,-82.25851780702553,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9985756260686783}",25,0,-153.3583062879215,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9984906286032388}",25,0,-199.27012275806933,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9984031699587543}",20,0,-80.62438169848144,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9983132503508017}",30,0,-145.9341031349702,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9982208700010238}",30,0,-127.80315206085436,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9981260291371287}",20,0,-132.33985620392133,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9980287279928899}",25,0,-83.19607174158138,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9979289668081447}",20,0,-65.59790399264162,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9978267458287945}",20,0,-254.29876090242354,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 6}",0
43,False,"{'a': 0.5, 'e': 0.9977220653068037}",35,8,-66.73646650482038,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9976149255001993}",20,0,-86.62560214683137,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9975053266730701}",20,0,-107.9220769272678,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9973932690955664}",20,0,-50.48461040842033,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9972787530438985}",30,0,-295.85522781502846,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 5}",0
48,False,"{'a': 0.5, 'e': 0.9971617788003372}",20,0,-52.92100728837493,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9970423466532122}",25,0,-148.58671880649342,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9969204568969118}",30,0,-146.3654541149406,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9967961098318819}",20,0,-42.55736479600208,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
