trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.39074709267578,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999994516861301}",20,0,-110.89075917790807,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999978067451217}",30,0,-180.67146084759787,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999950651787788}",20,0,-218.03584119125009,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9999912269901077}",25,0,-198.7658765356667,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999862921833175}",20,0,-96.68472942112918,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99998026076382}",20,0,-215.6208466004605,"{0: 10, 1: 0, 2: 3, 3: 4, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999731327382292}",20,0,-106.42417694787686,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.999964908114362}",25,0,-190.03155503404108,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999555869012378}",20,0,-104.07850277657857,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9999451691090784}",25,11,-71.41293955084326,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9999336547493084}",25,0,-84.17294759819977,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9999210438345546}",20,0,-76.0222820846457,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999073363786465}",20,0,-111.0783412544347,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9998925323966161}",20,0,-104.55737046031425,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9998766319046979}",25,0,-196.4479339126139,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998596349203288}",20,0,-42.87244264500408,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9998415414621482}",25,0,-139.99324839195089,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9998223515499978}",25,14,-2.5366708844869743,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9998020652049219}",20,0,-71.93705530116075,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.999780682449167}",20,0,-104.24112569898786,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9997582033061819}",25,0,-185.24062220736909,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9997346278006181}",20,0,-136.8575320191625,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9997099559583289}",20,0,-98.91257734896884,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9996841878063704}",25,10,-64.81664381521237,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9996573233730004}",20,0,-72.24101773472539,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9996293626876794}",20,0,-199.05518293214308,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9996003057810697}",25,0,-153.6662722569649,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.999570152685036}",25,0,-213.67884380024864,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.9995389034326451}",30,0,-135.41625812655133,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9995065580581657}",20,0,-78.32068191894741,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9994731165970685}",25,0,-259.5903908826569,"{0: 7, 1: 4, 2: 9, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9994385790860266}",20,0,-77.59704784228487,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9994029455629146}",20,10,-60.50256302995139,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.9993662160668093}",20,0,-137.6899574428289,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.9993283906379893}",20,0,-144.0425423373819,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9992894693179348}",20,0,-20.50530680510202,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9992494521493284}",30,0,-111.80436502737248,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9992083391760537}",25,0,-163.2940717066521,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9991661304431964}",25,0,-223.53159561259278,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9991228259970438}",20,0,-55.46507363154911,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9990784258850848}",20,0,-90.9301899649814,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9990329301560098}",30,1,-157.4990133991116,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.9989863388597106}",25,0,-276.9640923566558,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 6}",0
45,False,"{'a': 0.5, 'e': 0.9989386520472805}",35,0,-147.70564422487382,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9988898697710142}",25,0,-184.56140745253762,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9988399920844079}",20,0,-105.19601827929799,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9987890190421584}",30,0,-85.24387233650604,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9987369507001647}",25,0,-170.1496791552784,"{0: 10, 1: 2, 2: 11, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.998683787115526}",20,0,-88.81611134354958,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.998629528346543}",20,0,-28.196047188563135,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9985741744527176}",20,7,-42.433952497823114,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.998517725494752}",25,0,-126.31892944258774,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9984601815345502}",20,0,-111.89023086389719,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9984015426352162}",25,0,-211.86031584687768,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9983418088610552}",25,0,-107.46139623240279,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9982809802775726}",30,0,-210.28251783660693,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9982190569514751}",20,0,-114.08881389457471,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9981560389506693}",35,12,-108.31391040629704,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.9980919263442626}",25,0,-160.61127346995806,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9980267192025625}",20,0,-42.82458291497328,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9979604175970772}",25,0,-117.18322815725766,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9978930216005146}",20,0,-138.5041514314404,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9978245312867834}",30,0,-223.3930493695373,"{0: 14, 1: 6, 2: 5, 3: 2, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9977549467309916}",30,0,-135.28343663268643,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9976842680094478}",20,0,-91.2244370187125,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9976124951996601}",20,0,-152.59969292010908,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9975396283803366}",20,0,-269.73888658897084,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 5}",0
69,False,"{'a': 0.5, 'e': 0.9974656676313851}",25,0,-88.05320068987163,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.997390613033913}",20,0,-118.33320783000367,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9973144646702272}",25,0,-190.0272908997096,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.9972372226238342}",20,0,-118.40467148250222,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9971588869794398}",20,0,-69.73437544976126,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9970794578229488}",30,0,-187.91862925684805,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9969989352414657}",25,0,-114.25398700750101,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9969173193232936}",20,0,-41.9262487166997,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.996834610157935}",25,2,-90.59103638780584,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.9967508078360907}",30,1,-126.6412316186249,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.9966659124496611}",20,0,-4.331337055151826,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9965799240917445}",20,0,-8.182428300263327,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9964928428566382}",20,0,-5.4113359456469565,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.996404668839838}",25,0,-100.0577518281972,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9963154021380378}",20,0,-117.27628980550938,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9962250428491302}",20,0,-99.63197129238277,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
